structure,value
c1ccc2c(c1)cc1c(c2)c2c3c1cccc3ccc2,-8.49
CCC(C(=O)O)Oc1ccccc1,-2.042
S=C=Nc1ccc(cc1)Cl,-3.778
CC(COC(=O)c1ccc(cc1)O)C,-2.938
Clc1ccc(c(c1)Cl)c1ccc(c(c1)Cl)Cl,-7.8
O=C1C(c2ccc(cc2)Br)C(=O)c2c1cccc2,-4.607
CC(CC(COC(=O)N)(COC(=O)N)C)C,-2.09
CCNc1ccccc1,-1.7
c1ccc2c(c1)[nH]c1c2cccc1,-4.97
CCCn1c(=O)cc(n(c1=O)C)N,-1.611
Cc1ccc(c(c1)OCCCC(C(=O)O)(C)C)C,-4.36
O=C1NN(C(=O)C1c1ccccc1)c1ccccc1,-3.595
Clc1cc(cc(c1Cl)S(=O)(=O)N)S(=O)(=O)N,-4.017
c1ccc2c(c1)Oc1c(C2)cccc1,-5.253
COc1cc(OCCCCCNCCSS(=O)(=O)O)nc2c1cccc2,-3.157
CCCCN(CCCC)CCCOC(=O)c1ccc(cc1)N,-3.695
CN1CCC(CC1)NCC1CCC(CC1)CNC1CCN(CC1)C,-3.197
OC(=O)c1ccccc1I,-2.73
C=CCC1(C)C(=O)NC(=O)NC1=O,-1.16
O=C(c1ccc(cc1)N)Nn1ncnc1,-1.42
N#CC(c1ccccc1)Cc1ccccc1,-4.126
CN1CCN(CC1)CC/C=C/1\c2ccccc2Sc2c1cc(cc2)S(=O)(=O)N(C)C,-5.764
O=C(N(C)C)Nc1cccc(c1)C(F)(F)F,-3.43
CC(=O)Nc1ccc(cc1)OC(=O)c1ccccc1OC(=O)C,-4.195
CCCCCl,-2.03
CCN([C@@H]1CCN(C1)[C@@H]1Cc2ccccc2Sc2c1cc(Cl)cc2)C,-6.755
Cc1ccc(cc1)N1N=C(CC1=O)C,-3.229
OC(=O)COc1ccc(c(c1Cl)Cl)C(=O)c1ccc(o1)Cl,-4.376
[O-][N+](=O)c1ccc(c(c1)Cl)Cl,-3.2
O=C1C(c2ccc(cc2)C(F)(F)F)C(=O)c2c1cccc2,-4.545
Brc1ccc2c(c1)[nH]c(=O)o2,-2.33
OCC(COc1ccccc1C)(CO)CO,-2.122
Clc1cc(Sc2cc(Cl)cc(c2O)Cl)c(c(c1)Cl)O,-4.949
Ic1cc(I)c2c(c1O)nccc2,-5.131
COc1ccc2c(c1CN1CCCCC1)oc1c(c2=O)cccc1,-5.559
NC(=O)C(c1ccccc1)(c1ccccc1)O,-1.437
C[C@H](CCC[C@@H](CCCC(C)C)C)CCC/C(=C/CC1=C(C)C(=O)c2c(C1=O)cccc2)/C,-11.961
CSc1cnc2c(n1)cncn2,-1.55
CCCCOCCNc1ccccc1C(=O)N,-2.863
C[C@]12Cc3nonc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@]2(C)O)C,-5.339
CCC1(CC)C(=O)N(C)C(=O)N(C1=O)C,-1.626
Clc1cc2nc(oc2c(c1)S(=O)(=O)O)N,-2.08
CCC(=O)N1Cc2cc(Cl)ccc2CO1,-3.013
O=C1OCCN1/N=C\c1c(nc2n(c1=O)CCCC2)N1CCCCC1,-3.231
CC(Cl)(Cl)Cl,-2.0
CN(CCCN1c2ccccc2Sc2c1cccc2)C,-4.3
O=C1CCC2(C(=S)N1)c1ccccc1CCc1c2cccc1,-5.339
CN1CCN(CC1)CC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],-2.968
O=C(C(C)(C)C)NNCc1ccccc1,-2.285
O=C1CSC(=S)N1,-1.77
CCCCCC(O)(C)C,-1.72
CN([C@@H]1C(=O)C(=C([C@@]2([C@H]1C[C@H]1C(=C(O)c3c([C@H]1O)c(Cl)ccc3O)C2=O)O)O)C(=O)N)C,-2.487
Cc1n(C)c(=O)n(c(=O)c1Br)Cc1ccccc1,-3.338
CON(C(=O)Nc1ccc(c(c1)Cl)Br)C,-3.92
FC(C(C(Cl)F)(F)F)F,-3.068
Clc1ccc2c(c1)ccc(=O)o2,-2.359
O[C@H]1CC[C@]2([C@](C1)(O)CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)CC[C@@H]2c1ccc(=O)oc1)C)C,-3.768
CCCCl,-1.47
CNC(Cc1ccccc1)C,-1.05
NC(=O)C(c1ccccc1)(CCN1CCOCC1)C,-1.735
Cl/C=C(/CSC(=O)N(C(C)C)C(C)C)\Cl,-4.08
NC(=N)NS(=O)(=O)c1ccc(cc1)N,-1.99
OC(=O)Cc1ccc(cc1)Cl,-1.861
[O-][N+](=O)c1cnc(s1)NC(=O)NCC,-2.858
OCC1COC(O1)(C)CC(C)C,-2.074
CCOC(=O)C(=O)N1CC=Cc2c1cccc2,-2.303
O=C1NC(=O)NC(=O)C21CCC2,-1.65
CCOC(=O)CCN(C(C)C)SN(C(=O)Oc1cccc2c1OC(C2)(C)C)C,-4.71
C/C=C\C=C\[C@@H]1O[C@@](O)([C@H]([C@@H](C1(C)C)O)O)[C@@H](C(=O)NC/C=C/C=C(/[C@H]([C@H]([C@@H]1O[C@@H]([C@@H]([C@@H]1O)O)/C=C/C=C/C=C(/C(=C/1\C(=O)NC=CC1=O)/O)\C)C)OC)\C)CC,-7.176
CCC(=O)N1C2CCCC1CN(C2)C/C=C/c1ccccc1,-4.178
C=CCc1ccccc1OCC(CO)O,-2.644
CCCN1C(C)(C)CCC1(C)C,-2.146
CCC1C(=O)NC(=O)N(C1=O)c1ccccc1,-1.466
Cc1cc(cc(c1CC1=NCCN1)C)C(C)(C)C,-6.191
O=c1[nH]c(=O)c(c([nH]1)C(=O)O)F,-1.731
CCCC(C(NC(=O)C)C)CCC,-3.189
NC1=NC(N(C(=N1)N)OCc1ccc(c(c1)Cl)Cl)(C)C,-2.715
COc1ccc2c(c1)c(N)c1c(n2)cccc1,-4.067
CC(=O)c1ccccc1,-1.28
Cc1cc(C)c(c(c1C)C(=O)O)C,-3.033
CC1NC(C)SC(S1)C,-1.368
CC=C,-1.08
CCOC(=O)N1C(OC)Oc2c1cccc2,-3.022
CC(N1C(=O)c2ccccc2CS1(=O)=O)C,-2.511
CC1CCCCN1CCCOC(=O)c1ccccc1I,-5.254
Cn1c(=O)n(C)c2c(c1=O)[nH]cn2,-1.39
OC(C(C)(C)C)/C=C/c1ccc2c(c1)OCO2,-3.546
CCCCCNCCOC(=O)c1ccc(cc1)N,-3.27
CCCCOc1ccccc1OCC(CO)O,-2.573
CCCCCCCCC,-5.88
CN(CCOc1ccccc1Cc1ccccc1)C,-2.913
O=C1CC[C@]2([C@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C,-4.74
CCc1nc(N)nc(c1c1ccc(cc1)Cl)N,-3.312
O=C(N1c2ccccc2Sc2c1nccc2)OCCOCCN1CCCCC1,-6.43
Fc1cccc(c1)Br,-2.67
N#CC(=NNc1ccc(c(c1)Cl)Cl)C#N,-4.185
CCC(=O)N1C2CCC1CN(C2)CC#Cc1ccccc1,-3.213
CC(OC(=O)c1ccccc1)CN1CCCCC1C,-3.277
CCN(CCOC(=O)c1ccc(cc1)N)CC,-1.4
OC(=O)C1CCCCC1,-1.45
CCN(C(=O)C1CN2CCc3c(C2CC1OC(=O)C)cc(c(c3)OC)OC)CC,-3.814
O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2C(=O)C)C)C1)C,-4.65
O=C1N[C@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)CC(=O)N([C@H](C(=O)O[C@@H]([C@@H]1NC(=O)c1c2nc3c(ccc(c3oc2c(c(=O)c1N)C)C)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C(=O)[C@H]2N(C(=O)[C@H](NC1=O)C(C)C)CCC2)C)C)C(C)C)C,-8.875
CC[C@H](C1(CC)C(=O)NC(=O)NC1=O)C,-2.39
COc1ccc2c(c1)ccc(c2)CC(=O)O,-2.791
CN(C1=Nc2ccc(cc2N(C(=O)C1)c1ccccc1)C(F)(F)F)C,-3.524
C[C@H]([C@@H](Cl)C)Cl,-2.7
O=C1NC(=O)C2(N1)CCc1c(C2)cccc1,-4.013
COC1=CC(=O)c2c(C1=O)cccc2,-1.727
CCN1C(C)(C)CCCC1(C)C,-2.146
Nc1cccc(c1)C(=O)C,-1.28
CCCC1(C)COB(OC1)c1ccc(cc1)C,-3.758
C/C=C/C1=C(C(=O)O)N2[C@H](SC1)[C@@H](C2=O)NC(=O)[C@@H](c1ccc(cc1)O)N,-2.05
CN1CCC(C1)OC(=O)Nc1c(C)cccc1C,-2.893
CCc1nccc(c1)C(=S)N,-1.724
CN(C(=S)SSC(=S)N(C)C)C,-3.9
CC(CC(C)(C)C)C,-4.74
CC(=O)O[C@@H]1C[C@@H]2[C@]([C@@]1(O)C(=O)COC(=O)C)(C)C[C@@H]([C@]1([C@H]2CCC2=CC(=O)C=C[C@]12C)F)O,-4.13
N#CC(c1ccccc1)(c1ccccc1)CCN1CCC(CC1)(N1CCCCC1)C(=O)N,-5.943
CN1CCC2CC1N(C2)C(=O)/C=C/c1ccc(s1)[N+](=O)[O-],-3.064
CCC(C#C)(OC)C,-1.42
CCCCCCCCCCCCCCCC(=O)OCCO,-6.09
CCCCC(C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC)(O)C,-6.314
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1[nH]cnc2=S,-2.071
CCCCOc1nc(OCCCC)cc(c1)C(=O)N1CCOCC1,-4.363
CO/N=C(\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)COC(=O)N)/c1ccco1,-3.467
Brc1ccccc1,-2.55
CCOP(=S)(SCn1c(=O)oc2c1ccc(c2)Cl)OCC,-5.23
COc1ccc2c(c1)CCN(C2CCc1ccc(cc1)[N+](=O)[O-])C,-4.783
O=c1[nH]c2c([nH]1)[nH]cnc2=O,-2.959
O=C(c1ccccc1)Oc1cccc(c1)OC(=O)c1ccccc1,-5.601
CN1CCN(CC1)CN1C(=O)NC(C1=O)(c1ccccc1)c1ccccc1,-2.851
COC(=O)[C@@]1(O)C[C@]2(CC)CCCN3[C@@H]2c2n1c1ccccc1c2CC3,-4.834
Cc1n[nH]c(=O)[nH]c1=O,-1.306
Clc1cc(OCCCCCNCCSS(=O)(=O)O)nc2c1cccc2,-3.671
CCCCCCCCCCCCCCNCCSS(=O)(=O)O,-4.945
CC(N1CCN(CC1)CC(=O)N/N=C\c1ccc(o1)[N+](=O)[O-])C,-3.402
OCC(CC(c1nc2c(s1)nc(s2)C(CC(CO)(C)C)(C)C)(C)C)(C)C,-7.375
ClCCN(c1cc(ccc1C)C(=O)OC(C)C)CCCl,-6.088
CCOC(=O)N1CCN(CC1)C(CC)C,-1.327
O=C1C=C2C[C@]3(C(=C2C=C1O)c1ccc(c(c1OC3)O)O)O,-2.7
OC(c1ccccc1)(c1ccccc1)C1CCNCC1,-3.863
OCC(=O)[C@@]12OC(O[C@@H]1C[C@@H]1[C@]2(C)C[C@H](O)[C@H]2[C@H]1CCC1=CC(=O)C=C[C@]21C)(C)C,-5.582
OC(Cc1ccccc1)CNC(C)C,-1.214
Clc1ccc2c(c1)N(CCCN1CCC(CC1)(C(=O)N)N1CCCCC1)c1ccccc1CC2,-7.729
O=c1ccc2c(c1)[nH]c1c(c2N)cccc1,-2.906
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@@H]([C@](C2)(C)OC)O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C[C@H]([C@@H]([C@@H]([C@H]([C@]1(C)O)O)C)N)C)(C)O,-6.109
OC(=O)C(c1ccc(c(c1)Cl)C1CCCCC1)Cl,-5.542
NC(=O)C(c1cccc2c1cccc2)(CCN1CCOCC1)CCN1CCOCC1,-3.236
NC(=O)c1ccc(cc1)Br,-2.163
Clc1cc2NC(CSCc3ccccc3)NS(=O)(=O)c2cc1S(=O)(=O)N,-5.044
CCC(=O)c1ccc(c(c1)OC)OC,-2.164
CCCCCCC(NCCSS(=O)(=O)O)C,-1.753
OC(=O)COc1ccc(c(c1Cl)Cl)C(=O)c1cscc1,-4.287
Cc1cc(C)c(cc1C)C,-4.59
OC(=O)/C=C\C(=O)NC(=O)N,-1.279
CCCCCC(=O)O[C@@]1(CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@H]12)C(=O)C,-6.488
CCOC(=O)N1C(=O)c2c(C1=O)cccc2,-2.787
CN(/N=N/c1cccc(c1)C(=O)O)C,-2.344
COc1cccc(c1OC)C(=O)O,-1.535
Oc1sc(C)c(c(=O)c1c1ccccc1)C(=O)O,-2.254
OC(CN1CCN(CC1)c1ccccc1)COc1ccccc1C(O)C,-2.795
CC(=C)[C@H]1CC[C@@H](C(=O)C1)C,-2.18
OC(COC(=O)N)COc1ccc(cc1)Cl,-1.463
CCCCCCC(N)C,-1.465
C1CCC=CC1,-2.59
Nc1ccc(cc1)S(=O)(=O)Nc1cc(C)nc(n1)C,-2.24
CC(Nc1c(C)n(c2ccccc2)c(=O)n(c1=O)C)C,-2.575
NN1C(C)(C)CCCC1(C)C,-1.974
Clc1ccc(cc1)Br,-3.63
CC(CC(C(=O)O)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C,-3.456
C/C=C/CCC1CCCCN1CCCOC(=O)c1ccccc1,-5.227
CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](c1ccnc2c1cc(OC)cc2)O,-4.108
Clc1ccc(c(c1)c1cccc(c1Cl)Cl)Cl,-6.47
CCCCC(c1ccccc1)O,-2.247
CC[C@@]12CN3CCc4c([C@@](C[C@@H]([C@H]2O1)C3)(C(=O)OC)c1cc2c(cc1OC)N([C@@H]1[C@@]32CCN2[C@H]3[C@@](CC)(C=CC2)[C@H]([C@]1(O)C(=O)OC)OC(=O)C)C)[nH]c1c4cccc1,-8.029
OC(=O)c1c(O)c(nc2c1cccc2)c1ccccc1,-4.904
CCC[C@@H](C1(CC)C(=O)NC(=S)NC1=O)C,-3.36
Nc1ccc(c(c1)C(=O)O)O,-3.099
CCOC(=O)c1ccc(c(c1)OC)O,-2.318
CC(=O)NCc1c(I)c(NC(=O)C)c(c(c1I)C(=O)O)I,-2.321
[O-][N+](=O)c1ccc(cc1)c1nc2c(o1)cccc2,-4.16
CNC(=O)OCC(COC(=O)N)(CC)C,-1.611
OC(=O)C(NS(=O)(=O)c1ccc(cc1)Br)Cc1ccccc1,-4.258
NC1=NCC(O1)CN1CCN(CC1)c1ccccn1,-1.516
Cc1cccc(c1)C(=O)O,-2.14
CCN(CCOc1ccc(cc1C(=O)Nc1ccccc1)Br)CC,-4.806
O=C1N(C)CCCN1C,-1.599
NC(=O)Oc1ccc(cc1)Cc1ccccc1,-3.777
OCC(=O)O[C@@H]1C[C@@](C)(C=C)[C@@H](O)[C@@H](C23[C@H](C1(C)[C@H](C)CC2)C(=O)CC3)C,-4.647
CCCCOc1ccc(cc1F)CC(=O)NO,-2.819
O=C(c1ccc(c(c1)C)C)Cc1ccccc1C(=O)O,-4.586
COC(=O)c1ccccc1Nc1cccc(c1C)C,-5.824
COc1cc(NC(CCCN(C)C)C)c2c(c1)cc1c(n2)ccc(c1)Cl,-7.099
C[C@H](C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1)CN1CCOCC1,-5.145
ClC(C(=O)N(c1ccc(cc1)O)C)Cl,-2.428
OCCN1CCN(CC1)CC(COc1c(ccc(c1C(=O)OC)C)C(C)C)O,-3.284
Brc1ccc2c(c1)C(=O)c1c3c2ccc(c3ccc1)Br,-8.696
CSC/C(=N/OC(=O)NC)/C(C)(C)C,-1.62
CC(N(C(C)C)CCCN1C(=O)CCCc2c1cccc2)C,-4.701
Cl[C@@H](C(F)(F)F)Br,-1.71
CCCCCCCC=O,-2.36
CCCCN(CCCC)CCCNC1=CC(=O)c2c(C1=O)cccn2,-3.617
O=c1[nH]c2CCCc2c(=O)n1C1CCCCC1,-4.59
COc1nc(NC(C)C)nc(n1)NC(C)C,-2.48
FCCCCSC#N,-2.001
COc1ccc2c3c1O[C@@H]1[C@@]43CCN([C@H](C2)[C@@H]4CC[C@@H]1OC(=O)C)C,-2.828
CC(I)C,-2.09
CC(=O)CN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2,-2.443
COc1nc2c(o1)ccc(c2)Cl,-3.016
O=c1ccc2c(o1)c1ccoc1cc2,-2.336
COc1ccc(cc1)CCCCNC(CSS(=O)(=O)O)C,-2.49
CCOC(=O)c1ccc(cc1)C(=O)OCC,-2.719
Clc1ccc(cc1)P(=O)(O)O,-1.6
COC1(CCC(CC1)N1CCCCC1)c1cccc(c1)C,-4.599
Clc1ccc(cc1)C(c1ccccc1)N1CCN(CC1)Cc1cccc(c1)C,-6.051
NC1=NC(N(C(=N1)N)OCCCOc1cc(Cl)c(cc1Cl)Cl)(C)C,-4.278
Clc1ccc(cc1)C(c1ccncc1)(c1ccccc1)O,-4.123
ClCCN(c1ccc(cc1)OC(=O)c1ccccc1C)CCCl,-6.261
OCCN(C(=O)C(Cl)Cl)Cc1ccc(cc1)Oc1ccc(cc1)[N+](=O)[O-],-5.124
O[C@H]1CCC(=C)/C(=C\C=C\2/CCC[C@]3([C@H]2CC[C@@H]3[C@@H](CCC(C(O)(C)C)O)C)C)/C1,-8.731
OC(=O)[C@@H](Cc1ccc(c(c1)O)O)N,-1.6
COc1ccc2c(c1O)c1c3OCOc3cc3c1[C@H](C2)N(C)CC3,-4.119
c1ccc(nc1)c1ccccn1,-1.42
NNc1c2ccccc2nc2c1cccc2,-3.648
OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,-4.16
CC(Cc1ccc(cc1)CC(=O)O)C,-3.07
COC(=O)c1c(C)ccc(c1OCCN1CCOCC1)C(C)C,-3.287
CN(CC/C=C/1\c2ccccc2OCc2c1cccc2)C,-3.4
O[C@H]1CC[C@]2([C@](C1)(O)CC[C@@H]1[C@@H]2CC[C@]2([C@]31O[C@@H]3[C@@H]([C@@H]2c1ccc(=O)oc1)O)C)C,-3.302
CCN(CCCn1c2ccccc2[nH]c(=O)c2c1cccc2)CC,-6.3
NC(=O)NO[Sb](=O)(c1ccc(cc1)N)O,-4.716
OC(=O)C(c1ccc2c(c1)nc(o2)c1ccccc1C)C,-4.173
CC(c1ccccc1)(C)C,-3.66
CCN1CCCC(C1)OC(=O)Nc1cccc(c1)Cl,-3.598
CN(C(=O)c1nnn(c1C)c1ccccc1)C,-1.822
Nc1ccc(cc1)CCN1CC[C@@]23[C@H]([C@H]1Cc1c3cc(cc1)O)CCCC2,-4.069
O=C(NP(=O)(N1CC1)N1CC1)NC1CC(C)(C)N(C(C1)(C)C)[O],-2.662
Oc1cccc2c1cccc2,-2.22
CCCCOC(=O)c1ccc(cc1)N,-3.08
Oc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)N(CC1)C(=O)C,-3.355
N#Cc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])Cl,-3.069
Clc1ccc2c(c1)c(C)cc(n2)OCCCNCCSS(=O)(=O)O,-3.198
CCCN(C(=O)c1nnn(c1C)c1ccccc1)CCC,-2.269
CN(CCC=C1c2ccccc2CCc2c1cccc2)C,-4.46
O=C(c1ccccc1C(=O)O)Cc1ccccc1,-3.447
CCC1(CC)C(=O)NC=CC1=O,-1.422
COc1ccc(cc1)Cn1cc(F)c(=O)[nH]c1=O,-1.914
CCC(C(=O)NC(=O)N)CC,-1.133
O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C)C,-4.02
COC[C@H](N(c1c(C)cccc1CC)C(=O)CCl)C,-2.73
CCC(C(=O)NC(=O)N)(CC)Cl,-1.802
Ic1cc(c2c(c1O)nccc2)S(=O)(=O)O,-2.244
CC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@@H](O)[C@H]1[C@H]2CCC2=CC(=O)C=C[C@]12C,-4.37
O=C(N1CCCCC1)/C=C\C=C\c1ccc2c(c1)OCO2,-3.46
CCCCSc1ccc(cc1C)CC(=O)NO,-3.647
C1CCN(CC1)C1=CCCCC1,-2.46
ONC(=O)c1cc(Cl)nc(c1)Cl,-1.321
O=C(N(C)C)Nc1ccc(c(c1)Cl)Cl,-3.8
CCC1(CC)NCCS1,-1.268
OCC(C(=O)N1CC2CCC(C1)N2C)(c1ccccc1)C,-2.104
CCCOc1ccc(cc1)/C=C/C(=O)NO,-2.773
Clc1cc(Cl)c(c(c1O)Cc1c(O)c(Cl)cc(c1Cl)Cl)Cl,-3.463
NNC(Cc1ccccc1C)C,-2.057
O=C(Cc1ccccc1)NC1CCCCC1,-3.588
CC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,-4.7
c1ccc(cc1)[As](c1ccccc1)c1ccccc1,-6.533
CCCCC1=CC(N(C(C1)(C)C)C(=O)CN(CC)CC)(C)C,-5.73
NC(=O)N1c2ccccc2C=Cc2c1cccc2,-3.324
CN1C2CCC1CN(C2)C/C=C/c1ccccc1,-2.367
Cc1cc(C)c2c(c1)c(N)c1c(n2)cccc1,-4.917
COc1ccc(cc1)SCC1CN=C(O1)N,-2.451
COC(=O)[C@H]1[C@H](C[C@H]2N([C@@H]1CC2)C)OC(=O)c1ccccc1,-2.25
Clc1nccc(n1)N(C)C,-1.002
CCC1(c2ccccc2)C(=O)N(CC)C(=O)N(C1=O)CC,-3.638
Fc1ccc(cc1)C(=O)CCCN1CCN(CC1)c1ccccn1,-3.398
COC(=O)c1cc(Cl)cc(c1Cl)N,-3.26
CCCC(=O)Oc1ccccc1C(=O)O,-2.598
c1ccc(cc1)N1CCN(CC1)CC1CCc2c(N1)cccc2,-3.756
OC(=O)[C@](Cc1ccc(c(c1)O)O)(N)C,-1.325
O=C1CC(=NN1c1ccccc1)C,-3.27
CC(N(Cc1c(C(C)C)c(=O)n(n1C)c1ccccc1)C)Cc1ccccc1,-5.068
CC(c1ccc(cc1)Cl)(CC(O)(C)C)O,-3.278
COC(=O)C(Cc1ccc(cc1)Cl)N,-1.181
Cc1ccc2c(c1)c(C)cc(n2)OCCCCCNCCSS(=O)(=O)O,-4.008
FCCN(P(=O)(Cl)Cl)CCCl,-1.96
Clc1ccc(cc1)Nc1cc2nc3ccccc3n(c2c/c/1=N\C(C)C)c1ccc(cc1)Cl,-6.323
O=C1NCC(O1)COc1cc(C)cc(c1)C,-3.387
OCC1COC(O1)(C(C)C)C(C)C,-2.531
O=C1NS(=O)(=O)c2c1cccc2,-1.64
CCCCC[C@H](O)C,-1.55
O=C1NC(=O)NC1(c1ccccc1)c1ccccc1,-4.1
O=c1[nH]c(=O)n(cc1F)C1CCCO1,-1.741
O=c1[nH]cnc2c1cn[nH]2,-2.38
CCCCC(COC(=O)NCC)(CO)CC,-3.278
OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(nc1=O)NC,-1.317
OC(=O)C(c1cc2ccccc2c2c1cccc2)C,-5.327
COc1ccc(cc1)[C@@](c1cncnc1)(C1CC1)O,-2.6
CCCCC(c1ccccc1)OC(=O)CCC(=O)O,-3.908
CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.25
CC(CC(=O)O[C@@H]1OC=C(C2=C[C@@H]([C@@]3([C@@H]12)CO3)OC(=O)CC(OC(=O)C)(C)C)COC(=O)C)C,-4.696
CCCCS,-2.18
O=C(N1C(C)(C)CCCC1(C)C)CNCc1ccco1,-3.486
CC(OC(=O)C(Oc1ccc(cc1)C(=O)c1ccc(cc1)Cl)(C)C)C,-5.936
Oc1ccc(c(c1)C)C,-1.41
ClC(C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)(Cl)Cl,-7.15
Nc1ccc(cc1)Oc1ccccc1,-3.08
CCCC(COC(=O)Nc1ccc(cc1)C(=O)O)(CO)C,-3.686
CN(C1(C)C2CCC(C1C)C2)C,-2.036
CN(C(=O)c1cc(Cl)nc(c1)Cl)N,-2.359
Clc1ccc2c(c1)C(=NCc1n2c(C)nn1)c1ccccc1,-4.372
NC(=N)NCC(=O)O,-1.51
c1ccc2c(c1)c1ccccc1CNC2,-3.497
OC(=O)C(Oc1ccccc1)(C)C,-1.998
