32
process will start at : 
Fri Oct 21 15:31:43 CST 2022
++++++++++++++++++++++++++++++++++++++++
Load GaoDataSet from dataset/new_cui2020.csv ... done (5809 lines, 7.469 seconds) 
# of all graphs/labels:      5808
# of testing graphs/labels:      1162
>>> Training of the Model >>>
Start at:  Fri Oct 21 15:33:08 2022
PID:       26511
# of training graphs/labels: 4646
Learning rate:               1E-03
Batch size:                  64
Maximum epochs:              1000
Output frequency:            1
Params filename prefix:      models/solub
Device:                      cpu
------------------------------------------------------------------------------------------------------------------------------------------------------
     Epoch    TrainingLoss        TrainMAE       TrainRMSE         Time(s) SavePrefix
------------------------------------------------------------------------------------------------------------------------------------------------------
         0       6.4698717       6.9592409       8.3689032      21.6964393 models/solub-0
------------------------------------------------------------------------------------------------------------------------------------------------------
Final loss: 0.2578, Final mae: 0.5697, Final mse: 0.7102, Final rmse: 0.8113
Total training time: 18872.2101 seconds
>>> Training of the Model Accomplished! >>>
End at:  Fri Oct 21 20:47:41 2022
   60     -3.78000000     -4.27500000
   61     -3.10800000     -2.90000000
   62     -3.39000000     -2.95100000
   63     -4.31000000     -5.40200000
   64     -2.26700000     -2.97600000
   65     -7.66000000     -7.76900000
   66     -4.08200000     -5.17000000
   67     -3.39000000     -3.35200000
   68     -5.49500000     -4.69500000
   69     -1.69400000     -1.72900000
   70     -2.78200000     -1.99900000
   71     -2.23700000     -2.37800000
   72     -2.89000000     -2.09100000
   73     -3.17800000     -1.56800000
   74     -4.38900000     -3.09900000
   75     -7.96000000     -6.16600000
   76     -4.67400000     -5.24600000
   77     -1.44000000     -3.00400000
   78     -5.19000000     -3.05500000
   79     -4.85000000     -4.48700000
   80     -3.66100000     -2.50800000
   81     -2.11500000     -2.25000000
   82     -4.06200000     -2.64500000
   83     -7.87000000     -8.38100000
   84     -1.62000000     -1.10000000
   85     -3.90000000     -5.32500000
   86     -3.73300000     -4.25100000
   87     -1.23700000     -2.10900000
   88     -1.73200000     -2.13100000
   89     -1.06400000     -1.88600000
   90     -4.30000000     -4.08300000
   91     -1.00000000     -0.34900000
   92     -2.89200000     -3.27400000
   93     -3.05300000     -4.00400000
   94     -1.61200000     -2.13600000
   95     -4.30900000     -3.70800000
   96     -3.04300000     -3.09900000
   97     -1.71200000     -2.39900000
   98     -1.85100000     -2.07200000
   99     -4.10500000     -4.28700000
  100     -2.78800000     -2.33700000
  101     -3.15000000     -3.84000000
  102     -4.06900000     -5.35400000
  103     -5.80000000     -4.91300000
  104     -2.01000000     -3.94400000
  105     -2.60000000     -2.42800000
  106     -3.68200000     -3.89500000
  107     -2.71000000     -1.83400000
  108     -1.39000000     -2.11700000
  109     -6.51000000     -6.22700000
  110     -1.88000000     -1.57000000
  111     -1.75400000     -2.72200000
  112     -2.49000000     -3.26100000
  113     -1.94500000     -2.03500000
  114     -3.71100000     -4.57400000
  115     -4.94200000     -5.15300000
  116     -2.32100000     -2.18800000
  117     -2.75700000     -2.84300000
  118     -5.69000000     -5.00000000
  119     -2.12200000     -2.29300000
  120     -1.19800000      0.05500000
  121     -8.33400000     -7.31000000
  122     -1.56000000     -2.26900000
  123     -2.05900000     -1.94200000
  124     -3.09900000     -1.98600000
  125     -2.76000000     -3.99800000
  126     -6.46700000     -5.69200000
  127     -2.33000000     -1.59300000
  128     -4.58000000     -4.53400000
  129     -2.92000000     -3.73500000
  130     -5.70800000     -4.94800000
  131     -5.38000000     -4.70000000
  132     -3.21500000     -3.29100000
  133     -5.80100000     -4.90600000
  134     -2.76300000     -3.04200000
  135     -4.09400000     -3.49700000
  136     -3.12000000     -2.64300000
  137     -3.38000000     -3.70100000
  138     -4.94100000     -4.35800000
  139     -9.17500000     -8.59500000
  140     -2.50600000     -2.95400000
  141     -2.50200000     -1.72200000
  142     -1.71900000     -0.54200000
  143     -3.31000000     -5.17200000
  144     -4.71000000     -6.14800000
  145     -4.38000000     -4.58500000
  146     -1.53300000     -1.04400000
  147     -1.23600000     -2.53500000
  148     -3.17100000     -3.09400000
  149     -5.01400000     -3.76600000
  150     -2.58800000     -2.54700000
  151     -1.33400000     -2.37000000
  152     -2.90000000     -4.24700000
  153     -2.44100000     -2.79600000
  154     -3.68800000     -2.29400000
  155     -7.82000000     -7.91400000
  156     -3.83400000     -4.18000000
  157     -1.57600000     -1.83700000
  158     -2.03700000     -2.32500000
  159     -3.24000000     -3.17800000
  160     -3.43900000     -3.50700000
  161     -2.14400000     -1.50900000
  162     -3.68000000     -2.70200000
  163     -1.73000000     -1.53700000
  164     -2.28500000     -3.08400000
  165     -5.27700000     -6.13000000
  166     -3.12400000     -2.83700000
  167     -3.30000000     -2.16000000
  168     -2.40400000     -2.64700000
  169     -1.97000000     -2.46000000
  170     -4.02600000     -4.42900000
  171     -3.20000000     -3.39300000
  172     -2.92000000     -1.06500000
  173     -4.65000000     -5.41600000
  174     -2.73000000     -3.27500000
  175     -2.56900000     -2.30900000
  176     -1.44100000     -2.34700000
  177     -2.46000000     -2.29300000
  178     -3.44200000     -3.19900000
  179     -4.04900000     -4.25000000
  180     -4.39500000     -5.26200000
  181     -3.07800000     -2.77900000
  182     -5.02100000     -4.66300000
  183     -1.79000000     -2.16300000
  184     -3.37500000     -3.59100000
  185     -1.63800000     -1.96400000
  186     -1.89800000     -1.74400000
  187     -6.62000000     -7.48500000
  188     -2.75300000     -2.61600000
  189     -3.59500000     -3.20900000
  190     -8.46400000     -5.33100000
  191     -3.21000000     -3.47600000
  192     -4.35000000     -5.17400000
  193     -2.45300000     -1.84000000
  194     -7.32000000     -6.75000000
  195     -1.28000000     -1.27600000
  196     -7.80800000     -7.79400000
  197     -4.75300000     -5.83000000
  198     -1.94000000     -3.75700000
  199     -1.26000000     -0.66400000
  200     -4.82000000     -5.24000000
  201     -4.89900000     -4.92600000
  202     -5.74800000     -5.76000000
  203     -1.32000000     -1.75200000
  204     -4.10700000     -4.63200000
  205     -2.39000000     -2.21100000
  206     -4.13500000     -4.67800000
  207     -6.05000000     -5.00900000
  208     -2.74400000     -3.08900000
  209     -2.75000000     -3.28600000
  210     -1.62200000     -3.08500000
  211     -2.40000000     -2.50000000
  212     -3.96000000     -3.54600000
  213     -9.24800000     -9.70800000
  214     -1.95200000     -2.53700000
  215     -2.65300000     -2.52300000
  216     -2.93100000     -2.57000000
  217     -2.93800000     -3.17400000
  218     -3.10100000     -2.57200000
  219     -6.27000000     -5.72300000
  220     -2.79300000     -3.90500000
  221     -2.54000000     -2.34500000
  222     -5.51000000     -5.83200000
  223     -4.36000000     -4.15700000
  224     -1.06000000     -1.59100000
  225     -2.22000000     -2.48000000
  226     -2.25200000     -2.77000000
  227     -2.33000000     -2.55200000
  228     -2.76200000     -3.73900000
  229     -1.35800000     -2.08000000
  230     -2.89400000     -4.00400000
  231     -6.02000000     -6.14400000
  232     -1.07000000     -0.92500000
  233     -1.61600000     -1.10900000
  234     -6.30000000     -6.35200000
  235     -4.21000000     -5.10700000
  236     -2.03400000     -2.50100000
  237     -2.22000000     -2.66800000
  238     -4.78700000     -4.00300000
  239     -2.28500000     -3.39500000
  240     -3.01300000     -2.73400000
  241     -2.15400000     -2.04400000
  242     -1.97100000     -1.97400000
  243     -3.24000000     -1.93000000
  244     -4.11900000     -3.17900000
  245     -9.40500000     -6.12500000
  246     -3.84000000     -4.69700000
  247     -2.49000000     -4.03500000
  248     -1.54000000     -2.41400000
  249     -1.04000000     -2.16300000
  250     -2.52000000     -3.61800000
  251     -2.44000000     -2.12500000
  252     -4.00200000     -4.72700000
  253     -2.65000000     -3.45000000
  254     -6.32300000     -8.39900000
  255     -5.33300000     -5.12900000
  256     -3.32900000     -3.49300000
  257     -5.46700000     -4.41600000
  258     -1.44100000     -1.44500000
  259     -2.77000000     -2.17600000
  260     -1.47200000     -0.78200000
  261     -5.28500000     -2.17700000
  262     -9.73800000     -8.76800000
  263     -3.31300000     -3.27100000
  264     -7.11200000     -7.03700000
  265     -1.96200000     -2.60900000
  266     -1.40000000     -2.25300000
  267     -4.08100000     -2.74300000
  268     -3.58000000     -3.37800000
  269     -1.48900000     -0.74000000
  270     -4.01800000     -4.54200000
  271     -2.38000000     -1.17000000
  272     -2.16800000     -3.71400000
  273     -3.13800000     -3.56200000
  274     -3.08000000     -2.78300000
  275     -1.75300000     -1.83700000
  276     -1.29700000     -3.09900000
  277     -4.69000000     -4.54600000
  278     -4.48200000     -4.28400000
  279     -2.79700000     -3.04900000
  280     -3.80000000     -3.28800000
  281     -3.10300000     -3.59700000
  282     -3.29800000     -2.64300000
  283     -1.09000000     -0.87900000
  284     -7.29100000     -7.70300000
  285     -2.08600000     -3.66200000
  286     -1.43700000     -2.30400000
  287     -1.64000000     -1.58400000
  288     -2.93100000     -3.76800000
  289     -1.85000000     -2.86100000
  290     -2.58600000     -6.53600000
  291     -1.98600000     -3.10900000
  292     -4.54400000     -4.13900000
  293     -3.37000000     -4.09400000
  294     -1.22400000     -1.90600000
  295     -5.32700000     -5.48500000
  296     -5.88900000     -5.12900000
  297     -4.43000000     -3.94300000
  298     -3.50600000     -2.97200000
  299     -2.39400000     -2.89900000
  300     -2.38000000     -1.55900000
  301     -2.86300000     -2.87400000
  302     -2.45900000     -1.85600000
  303     -2.17600000     -4.16500000
  304     -2.23000000     -2.32500000
  305     -1.50900000     -2.01400000
  306     -2.72000000     -2.58300000
  307     -1.93400000     -1.33700000
  308     -2.07400000     -2.30700000
  309     -4.36000000     -2.66000000
  310     -2.63000000     -2.16300000
  311     -2.39300000     -3.06600000
  312     -8.88900000     -6.73900000
  313     -5.51000000     -4.66900000
  314     -3.21300000     -3.35600000
  315     -1.14800000     -2.04200000
  316     -3.53600000     -3.28000000
  317     -1.35800000     -2.07500000
  318     -6.29000000     -5.96200000
  319     -4.84900000     -5.08500000
  320     -4.23000000     -3.06300000
  321     -2.35000000     -1.56500000
  322     -5.00600000     -5.59200000
  323     -2.46000000     -2.88900000
  324     -2.73500000     -2.17700000
  325     -4.58000000     -4.01200000
  326     -8.88300000    -10.40800000
  327     -3.31000000     -3.87400000
  328     -1.17000000     -1.80300000
  329     -4.10400000     -4.63700000
  330     -3.39000000     -2.26100000
  331     -3.41700000     -4.44900000
  332     -2.90800000     -3.44300000
  333     -3.58200000     -4.32800000
  334     -2.33700000     -3.16200000
  335     -3.01900000     -2.79100000
  336     -2.05800000     -2.30400000
  337     -4.11100000     -3.71900000
  338     -4.25700000     -4.10400000
  339     -4.00000000     -3.80100000
  340     -1.94000000     -4.05000000
  341     -1.27400000     -3.09400000
  342     -1.50400000     -1.74200000
  343     -3.70400000     -3.92900000
  344     -3.25600000     -3.96400000
  345     -3.13000000     -4.18400000
  346     -3.26200000     -2.93000000
  347     -3.77000000     -4.10200000
  348     -3.21000000     -3.11100000
  349     -3.38500000     -4.43600000
  350     -3.98800000     -3.20900000
  351     -5.98000000     -5.21900000
  352     -5.03700000     -3.80200000
  353     -3.52800000     -3.66400000
  354     -4.12700000     -3.20300000
  355     -1.46500000     -2.41200000
  356     -5.26500000     -6.16900000
  357     -5.49000000     -4.92700000
  358     -1.68500000     -2.65600000
  359     -1.97100000     -1.89400000
  360     -6.10600000     -6.77700000
  361     -2.96600000     -2.79500000
  362     -3.85300000     -3.70300000
  363     -2.66600000     -1.78800000
  364     -4.75400000     -4.69300000
  365     -1.73500000     -1.70300000
  366     -4.30400000     -6.53300000
  367     -3.59600000     -3.43100000
  368     -1.12200000     -1.80800000
  369     -1.82400000     -2.67400000
  370     -1.35000000     -2.54400000
  371     -2.68000000     -2.27000000
  372     -3.49600000     -3.75400000
  373     -1.02900000     -1.06500000
  374     -4.43000000     -4.25600000
  375     -5.24400000     -4.39400000
  376     -3.40100000     -3.37300000
  377     -1.61700000     -0.90000000
  378     -2.78700000     -2.76700000
  379     -2.96800000     -1.54600000
  380     -4.20200000     -3.50000000
  381     -2.88100000     -3.54600000
  382     -1.75300000     -2.25500000
  383     -4.63000000     -5.52100000
  384     -6.47200000     -6.09400000
  385     -3.21900000     -3.95600000
  386     -2.65100000     -2.67200000
  387     -1.95000000     -0.93600000
  388     -5.51100000     -5.49100000
  389     -5.64000000     -4.76700000
  390     -1.03600000     -3.84400000
  391     -5.94300000     -5.46200000
  392     -1.88000000     -1.87000000
  393     -2.84000000     -2.18600000
  394     -4.60000000     -3.58500000
  395     -3.21200000     -3.08400000
  396     -5.04400000     -5.01100000
  397     -1.64500000     -2.07100000
  398     -4.34900000     -4.49600000
  399     -2.80400000     -2.77200000
  400     -1.57600000     -2.17100000
  401     -6.01000000     -6.00200000
  402     -2.72000000     -3.32400000
  403     -7.80000000     -6.25800000
  404     -4.72100000     -3.35700000
  405     -3.69000000     -3.70200000
  406     -1.89000000     -1.89000000
  407     -2.64200000     -2.26400000
  408     -3.04900000     -3.89500000
  409     -8.32700000     -6.39400000
  410     -5.07100000     -4.39800000
  411     -3.08500000     -2.97100000
  412     -1.41000000     -1.40300000
  413     -1.91000000     -1.98000000
  414     -2.48100000     -2.38700000
  415     -4.12500000     -4.43500000
  416     -3.97900000     -3.91300000
  417     -3.05700000     -3.50200000
  418     -3.21100000     -2.91300000
  419     -3.22800000     -3.00600000
  420     -4.15000000     -3.75200000
  421     -4.54100000     -3.99300000
  422     -3.51500000     -2.89900000
  423     -2.83800000     -3.59900000
  424     -1.31000000     -1.30800000
  425     -1.53500000     -1.49800000
  426     -3.76600000     -3.85800000
  427     -2.02500000     -2.26500000
  428     -6.51600000     -6.77200000
  429     -2.82000000     -3.17200000
  430     -2.16300000     -2.61900000
  431     -2.06300000     -2.51000000
  432     -1.29700000     -1.80500000
  433     -7.13800000     -6.54500000
  434     -5.04900000     -3.45400000
  435     -2.02500000     -1.35200000
  436     -2.69100000     -3.01600000
  437     -3.76700000     -4.27700000
  438     -3.68000000     -3.82200000
  439     -5.22000000     -5.30700000
  440     -3.04000000     -3.45600000
  441     -2.28300000     -2.80500000
  442     -2.14000000     -2.13700000
  443     -2.13400000     -1.25600000
  444     -1.82200000     -3.02800000
  445     -5.07300000     -5.23000000
  446     -1.70400000     -0.54300000
  447     -6.96000000     -5.39100000
  448     -1.61000000     -1.66300000
  449     -2.04800000     -2.14800000
  450     -2.48600000     -3.30600000
  451     -2.10700000     -2.06100000
  452     -2.98300000     -3.12900000
  453     -1.62500000     -1.79800000
  454     -2.74300000     -3.18000000
  455     -3.84000000     -2.56800000
  456     -8.06300000     -9.61300000
  457     -1.36800000     -1.91700000
  458     -6.20500000     -5.55900000
  459     -1.21500000     -2.65900000
  460     -2.15300000     -2.07500000
  461     -3.23800000     -2.77400000
  462     -4.10800000     -3.99900000
  463     -3.65000000     -2.75000000
  464     -2.24900000     -2.99500000
  465     -1.47100000     -0.46400000
  466     -1.16000000     -0.40700000
  467     -5.23000000     -4.52600000
  468     -1.28400000     -1.66300000
  469     -5.10300000     -5.38800000
  470     -4.47000000     -2.76100000
  471     -3.99600000     -4.85600000
  472     -2.51500000     -2.10000000
  473     -2.05000000     -2.32200000
  474     -6.55600000     -5.44200000
  475     -5.01200000     -4.77400000
  476     -7.85000000     -7.57000000
  477     -2.42600000     -3.66900000
  478     -6.19000000     -6.08500000
  479     -3.71300000     -2.53400000
  480     -3.57000000     -4.30400000
  481     -1.89200000     -1.79000000
  482     -3.63400000     -3.45200000
  483     -5.51100000     -5.28600000
  484     -1.90500000     -3.23500000
  485     -5.83600000     -5.16100000
  486     -2.70800000     -2.67700000
  487     -3.07100000     -3.24200000
  488     -1.34000000     -3.16600000
  489     -3.90500000     -4.29400000
  490     -3.32200000      0.13300000
  491     -4.10000000     -4.19300000
  492     -3.84700000     -3.79000000
  493     -8.33000000    -11.05500000
  494     -4.12000000     -3.50400000
  495     -2.17300000     -2.16400000
  496     -1.12800000     -1.26800000
  497     -5.61100000     -5.19700000
  498     -3.62500000     -3.96400000
  499     -1.73100000     -0.83000000
  500     -4.17300000     -4.78900000
  501     -6.21800000     -5.82100000
  502     -1.12000000     -1.39900000
  503     -7.28000000     -6.20600000
  504     -4.10600000     -3.88900000
  505     -1.92000000     -2.47100000
  506     -5.56300000     -5.35900000
  507     -2.09000000     -3.21100000
  508     -4.40100000     -3.40500000
  509     -3.70000000     -2.06300000
  510     -1.92000000     -1.74700000
  511     -1.46000000     -1.22800000
  512     -4.58600000     -4.27600000
  513     -4.16700000     -3.99200000
  514     -4.70700000     -4.24700000
  515     -2.36000000     -1.66700000
  516     -1.59300000     -2.07300000
  517     -4.08500000     -5.09100000
  518     -3.45600000     -3.89000000
  519     -2.20300000     -4.55900000
  520     -2.98000000     -2.18600000
  521     -1.30900000     -1.56100000
  522     -3.54000000     -3.77900000
  523     -1.25600000     -1.19500000
  524     -1.33000000     -1.42000000
  525     -1.22000000     -1.82800000
  526     -2.74300000     -3.45900000
  527     -1.43000000     -2.85100000
  528     -5.23800000     -3.84400000
  529     -2.14600000     -2.77800000
  530     -2.34000000     -1.80700000
  531     -2.69800000     -2.59600000
  532     -2.02500000     -2.69400000
  533     -1.91200000     -1.48900000
  534     -2.57400000     -3.39000000
  535     -2.79700000     -2.94600000
  536     -6.10900000     -5.05900000
  537     -1.09600000     -0.59500000
  538     -4.11900000     -3.77500000
  539     -5.33000000     -4.99500000
  540     -6.43000000     -5.11700000
  541     -2.93000000     -2.99500000
  542     -1.87400000     -2.35400000
  543     -8.30300000     -7.79000000
  544     -2.04700000     -1.46700000
  545     -3.76700000     -3.15200000
  546     -4.39000000     -3.75000000
  547     -1.76000000     -1.05200000
  548     -2.02000000     -2.49400000
  549     -3.28400000     -1.46900000
  550     -5.78000000     -4.56400000
  551     -3.48100000     -3.19000000
  552     -2.97100000     -3.02800000
  553     -2.69600000     -3.26600000
  554     -5.85500000     -5.27800000
  555     -1.43000000     -2.16800000
  556     -1.74100000     -1.40900000
  557     -1.32700000     -2.02700000
  558     -1.44400000     -1.62600000
  559     -2.14600000     -2.63400000
  560     -2.51600000     -3.09100000
  561     -5.33900000     -6.23400000
  562     -3.16000000     -3.12600000
  563     -3.72700000     -3.95300000
  564     -6.26000000     -5.45500000
  565     -2.34000000     -3.28100000
  566     -4.14800000     -3.09700000
  567     -3.77000000     -3.87100000
  568     -3.21100000     -3.22200000
  569    -10.91200000     -9.13500000
  570     -3.41800000     -3.04200000
  571     -3.76700000     -3.86200000
  572     -2.41700000     -2.36700000
  573     -6.68000000     -6.23500000
  574     -1.72700000     -2.10700000
  575     -4.05300000     -3.80800000
  576     -2.12700000     -3.40800000
  577    -11.02800000    -10.89000000
  578     -4.63100000     -3.82700000
  579     -2.94400000     -2.74200000
  580     -1.22600000     -2.39200000
  581     -1.30000000     -2.48200000
  582     -4.39000000     -4.47600000
  583     -2.77300000     -2.90100000
  584     -1.95400000     -1.97800000
  585     -2.11900000     -2.57800000
  586     -3.28400000     -2.97200000
  587     -1.14000000     -1.15600000
  588     -3.17300000     -2.32000000
  589     -4.66000000     -4.48200000
  590     -6.57400000     -6.91200000
  591     -3.17500000     -3.08100000
  592     -4.51400000     -4.88600000
  593     -3.26000000     -3.52100000
  594     -4.21900000     -3.49400000
  595     -3.30300000     -3.13100000
  596     -3.05400000     -2.77200000
  597     -2.87900000     -4.25000000
  598     -6.51100000     -5.99700000
  599     -2.96600000     -2.62500000
  600     -1.93800000     -2.88000000
  601     -2.19800000     -2.77800000
  602     -4.95000000     -4.25600000
  603     -8.35000000     -7.81600000
  604     -1.23800000     -1.79800000
  605     -3.12400000     -3.39000000
  606     -6.11700000     -5.20600000
  607     -5.37500000     -3.77100000
  608    -11.36100000     -9.63800000
  609     -3.35600000     -2.99400000
  610     -1.37000000     -1.95700000
  611     -1.57000000     -1.37000000
  612     -2.70000000     -2.52500000
  613     -7.17200000     -5.91000000
  614     -1.31000000     -2.63700000
  615     -8.02000000     -7.30300000
  616     -4.55100000     -4.83300000
  617     -4.37400000     -3.89000000
  618     -3.31600000     -3.43400000
  619     -6.50500000     -6.97900000
  620     -2.27200000     -2.62400000
  621     -7.75600000     -6.83700000
  622     -6.27600000     -7.28400000
  623     -2.53900000     -4.38500000
  624     -3.19000000     -4.23800000
  625     -1.09700000     -1.85100000
  626     -4.76000000     -5.71100000
  627     -1.84000000     -2.16200000
  628     -2.76900000     -6.74600000
  629     -1.23000000     -2.26600000
  630     -1.44400000     -1.71100000
  631     -1.29300000     -1.91500000
  632     -3.07300000     -2.67200000
  633     -2.54000000     -2.23800000
  634     -1.49300000      0.74700000
  635     -4.62900000     -4.27400000
  636     -4.42600000     -3.02300000
  637     -2.80900000     -3.28400000
  638     -2.51800000     -2.51500000
  639     -5.41600000     -5.52300000
  640     -1.47000000     -1.55200000
  641     -1.44700000     -0.35300000
  642     -5.63500000     -4.51000000
  643     -4.78300000     -4.76900000
  644     -2.38000000     -3.27000000
  645     -2.37500000     -2.10100000
  646     -4.87000000     -3.83200000
  647     -4.87700000     -5.00900000
  648     -4.65000000     -4.56800000
  649     -3.71000000     -4.50100000
  650     -6.25400000     -6.24500000
  651     -4.23700000     -3.53400000
  652     -3.29000000     -3.17000000
  653     -7.26000000     -6.80500000
  654     -2.55600000     -3.63900000
  655     -3.17100000     -2.23500000
  656     -2.16400000     -1.84700000
  657     -2.59600000     -2.02900000
  658     -5.62200000     -4.03400000
  659     -2.63900000     -3.19000000
  660     -4.45000000     -3.39500000
  661     -7.84300000     -5.61400000
  662     -3.63500000     -4.34700000
  663     -3.38000000     -3.32400000
  664     -2.32600000     -3.35900000
  665     -2.11100000     -2.93600000
  666     -4.52300000     -4.81500000
  667     -2.19000000     -2.05800000
  668     -1.12400000     -1.55500000
  669     -1.80300000     -2.20200000
  670     -2.90400000     -2.17600000
  671     -1.69500000     -1.78900000
  672     -2.87600000     -2.37700000
  673     -2.42000000     -2.82200000
  674     -5.93900000     -5.98400000
  675     -1.96400000     -2.58200000
  676     -1.82600000     -2.35500000
  677     -8.62500000     -8.15900000
  678     -3.17000000     -2.97200000
  679     -3.26500000     -2.33600000
  680     -2.39000000     -2.59700000
  681     -1.96000000     -2.13100000
  682     -1.24700000     -1.59400000
  683     -2.21400000     -4.29600000
  684     -4.19800000     -5.30600000
  685     -1.26000000     -0.71700000
  686     -1.80000000     -1.97400000
  687     -5.19300000     -5.49300000
  688     -3.51000000     -4.21600000
  689     -2.78300000     -1.31500000
  690     -4.61000000     -3.67900000
  691     -4.47900000     -5.66400000
  692     -4.90400000     -3.66500000
  693     -1.81000000     -2.10500000
  694     -2.11000000     -2.66800000
  695     -4.26600000     -2.70200000
  696     -2.11900000     -2.65900000
  697     -5.76600000     -4.77600000
  698     -4.76500000     -4.39800000
  699     -5.19000000     -5.05000000
  700     -4.58000000     -4.22200000
  701     -2.11000000     -2.66800000
  702     -3.00000000     -2.69100000
  703     -3.76200000     -3.66300000
  704     -4.31000000     -3.77100000
  705     -2.86000000     -2.80500000
  706     -2.84700000     -3.69700000
  707     -3.61800000     -4.73300000
  708     -3.32600000     -3.13300000
  709     -1.91400000     -2.78200000
  710     -5.02100000     -4.72400000
  711     -4.28700000     -4.50400000
  712     -2.17600000     -2.96600000
  713     -2.66500000     -2.39500000
  714     -1.80000000     -2.06100000
  715     -4.37400000     -3.83900000
  716     -4.08900000     -4.14500000
  717     -2.05300000     -2.75600000
  718     -1.75900000     -2.31300000
  719     -2.15000000     -1.98200000
  720     -1.11000000     -1.75500000
  721     -2.39000000     -3.20700000
  722     -4.00800000     -3.06400000
  723     -3.40000000     -3.63100000
  724     -7.42000000     -8.53600000
  725     -4.75900000     -4.66900000
  726     -5.25400000     -6.06900000
  727     -2.86900000     -2.39600000
  728     -2.36000000     -1.44300000
  729     -6.75500000     -6.16400000
  730     -4.36000000     -4.36700000
  731     -3.41500000     -3.65400000
  732     -3.37500000     -3.89000000
  733     -4.89000000     -4.32200000
  734     -2.24800000     -1.94700000
  735     -5.01100000     -3.92400000
  736     -7.90400000     -7.39800000
  737     -5.56000000     -4.34200000
  738     -1.42800000     -2.66800000
  739     -3.23300000     -3.38200000
  740     -5.84000000     -5.47700000
  741     -1.13800000     -1.24500000
  742     -2.18200000     -1.78600000
  743     -1.77200000     -3.04400000
  744     -2.31900000     -2.01400000
  745     -2.23000000     -2.80400000
  746     -1.92100000     -2.12200000
  747     -1.10100000     -1.75700000
  748     -6.17400000     -4.96900000
  749     -3.75000000     -3.79200000
  750     -3.55400000     -3.44800000
  751     -5.65100000     -5.59400000
  752     -4.44400000     -4.13500000
  753     -1.60600000     -2.51600000
  754     -5.58500000     -5.88700000
  755     -3.26400000     -3.75000000
  756     -4.88000000     -5.59800000
  757     -1.14800000     -1.63100000
  758     -7.33000000     -5.85200000
  759     -3.23100000     -3.56800000
  760     -5.67000000     -5.18200000
  761     -1.73200000     -1.93600000
  762     -1.49200000     -2.57000000
  763     -1.83600000     -3.71700000
